;,ENVI Out,put,of RO,Is (5.5.1),[Tue Nov 05,11:47:24 20,19],,,
,811,447,174,772350.32,2049949.2,18.522555,-72.420317,72,90,116
,812,448,174,772350.4,2049949.2,18.522555,-72.420316,73,94,121
,813,449,174,772350.48,2049949.2,18.522555,-72.420315,73,99,125
,814,450,174,772350.56,2049949.2,18.522555,-72.420314,73,97,119
,815,413,175,772347.59,2049949.12,18.522554,-72.420343,75,97,121
,816,414,175,772347.67,2049949.12,18.522554,-72.420342,75,95,122
,817,415,175,772347.75,2049949.12,18.522554,-72.420341,75,93,122
,818,416,175,772347.83,2049949.12,18.522554,-72.42034,75,94,122
,819,417,175,772347.91,2049949.12,18.522554,-72.420339,75,96,121
,820,418,175,772347.99,2049949.12,18.522554,-72.420339,76,96,121
,821,419,175,772348.07,2049949.12,18.522554,-72.420338,75,95,120
,822,420,175,772348.15,2049949.12,18.522554,-72.420337,73,94,118
,823,421,175,772348.23,2049949.12,18.522554,-72.420336,72,93,117
,824,422,175,772348.31,2049949.12,18.522554,-72.420336,72,93,116
,825,423,175,772348.39,2049949.12,18.522554,-72.420335,72,92,115
,826,424,175,772348.47,2049949.12,18.522554,-72.420334,73,90,115
,827,425,175,772348.55,2049949.12,18.522554,-72.420333,73,92,114
,828,426,175,772348.63,2049949.12,18.522554,-72.420333,73,93,114
,829,427,175,772348.71,2049949.12,18.522554,-72.420332,73,92,115
,830,428,175,772348.79,2049949.12,18.522554,-72.420331,73,96,116
,831,429,175,772348.87,2049949.12,18.522554,-72.42033,74,97,117
,832,430,175,772348.95,2049949.12,18.522554,-72.42033,74,97,120
,833,431,175,772349.03,2049949.12,18.522554,-72.420329,74,98,122
,834,432,175,772349.12,2049949.12,18.522554,-72.420328,74,99,123
,835,433,175,772349.2,2049949.12,18.522554,-72.420327,74,99,123
,836,434,175,772349.28,2049949.12,18.522554,-72.420327,75,100,123
,837,435,175,772349.36,2049949.12,18.522554,-72.420326,76,101,123
,838,436,175,772349.44,2049949.12,18.522554,-72.420325,77,101,125
,839,437,175,772349.52,2049949.12,18.522554,-72.420324,78,103,127
,840,438,175,772349.6,2049949.12,18.522554,-72.420324,78,104,128
,841,439,175,772349.68,2049949.12,18.522554,-72.420323,78,104,129
,842,440,175,772349.76,2049949.12,18.522554,-72.420322,78,103,129
,843,441,175,772349.84,2049949.12,18.522554,-72.420321,77,101,126
,844,442,175,772349.92,2049949.12,18.522554,-72.42032,76,98,122
,845,443,175,772350,2049949.12,18.522554,-72.42032,74,94,117
,846,444,175,772350.08,2049949.12,18.522554,-72.420319,72,89,115
,847,445,175,772350.16,2049949.12,18.522554,-72.420318,71,87,114
,848,446,175,772350.24,2049949.12,18.522554,-72.420317,72,88,112
,849,447,175,772350.32,2049949.12,18.522554,-72.420317,73,91,116
,850,448,175,772350.4,2049949.12,18.522554,-72.420316,73,95,121
,851,449,175,772350.48,2049949.12,18.522554,-72.420315,73,99,124
,852,450,175,772350.56,2049949.12,18.522554,-72.420314,73,97,118
,853,413,176,772347.59,2049949.04,18.522554,-72.420343,78,98,121
,854,414,176,772347.67,2049949.04,18.522554,-72.420342,77,97,124
,855,415,176,772347.75,2049949.04,18.522554,-72.420341,76,94,123
,856,416,176,772347.83,2049949.04,18.522554,-72.42034,76,96,123
,857,417,176,772347.91,2049949.04,18.522554,-72.420339,76,98,122
,858,418,176,772347.99,2049949.04,18.522554,-72.420339,77,97,120
,859,419,176,772348.07,2049949.04,18.522554,-72.420338,75,96,118
,860,420,176,772348.15,2049949.04,18.522554,-72.420337,73,94,117
,861,421,176,772348.23,2049949.04,18.522554,-72.420336,72,92,116
,862,422,176,772348.31,2049949.04,18.522554,-72.420336,71,92,115
,863,423,176,772348.39,2049949.04,18.522554,-72.420335,71,90,114
,864,424,176,772348.47,2049949.04,18.522553,-72.420334,72,89,113
,865,425,176,772348.55,2049949.04,18.522553,-72.420333,72,91,113
,866,426,176,772348.63,2049949.04,18.522553,-72.420333,72,92,114
,867,427,176,772348.71,2049949.04,18.522553,-72.420332,72,91,114
,868,428,176,772348.79,2049949.04,18.522553,-72.420331,72,94,115
,869,429,176,772348.87,2049949.04,18.522553,-72.42033,72,95,115
,870,430,176,772348.95,2049949.04,18.522553,-72.42033,71,94,117
,871,431,176,772349.03,2049949.04,18.522553,-72.420329,71,94,118
,872,432,176,772349.12,2049949.04,18.522553,-72.420328,72,94,119
,873,433,176,772349.2,2049949.04,18.522553,-72.420327,72,96,120
,874,434,176,772349.28,2049949.04,18.522553,-72.420327,73,98,122
,875,435,176,772349.36,2049949.04,18.522553,-72.420326,74,99,122
,876,436,176,772349.44,2049949.04,18.522553,-72.420325,75,100,123
,877,437,176,772349.52,2049949.04,18.522553,-72.420324,76,103,125
,878,438,176,772349.6,2049949.04,18.522553,-72.420324,77,103,125
,879,439,176,772349.68,2049949.04,18.522553,-72.420323,78,104,126
,880,440,176,772349.76,2049949.04,18.522553,-72.420322,77,105,127
,881,441,176,772349.84,2049949.04,18.522553,-72.420321,77,102,124
,882,442,176,772349.92,2049949.04,18.522553,-72.42032,76,99,122
,883,443,176,772350,2049949.04,18.522553,-72.42032,74,97,120
,884,444,176,772350.08,2049949.04,18.522553,-72.420319,72,92,116
,885,445,176,772350.16,2049949.04,18.522553,-72.420318,72,90,113
,886,446,176,772350.24,2049949.04,18.522553,-72.420317,72,91,110
,887,447,176,772350.32,2049949.04,18.522553,-72.420317,73,93,114
,888,448,176,772350.4,2049949.04,18.522553,-72.420316,73,98,118
,889,449,176,772350.48,2049949.04,18.522553,-72.420315,73,103,120
,890,450,176,772350.56,2049949.04,18.522553,-72.420314,73,98,114
,891,414,177,772347.67,2049948.96,18.522553,-72.420342,80,99,124
,892,415,177,772347.75,2049948.96,18.522553,-72.420341,78,98,123
,893,416,177,772347.83,2049948.96,18.522553,-72.42034,77,100,122
,894,417,177,772347.91,2049948.96,18.522553,-72.420339,77,101,121
,895,418,177,772347.99,2049948.96,18.522553,-72.420339,77,97,119
,896,419,177,772348.07,2049948.96,18.522553,-72.420338,76,96,116
,897,420,177,772348.15,2049948.96,18.522553,-72.420337,73,94,114
,898,421,177,772348.23,2049948.96,18.522553,-72.420336,71,92,114
,899,422,177,772348.31,2049948.96,18.522553,-72.420336,71,91,114
,900,423,177,772348.39,2049948.96,18.522553,-72.420335,71,90,113
,901,424,177,772348.47,2049948.96,18.522553,-72.420334,71,90,113
,902,425,177,772348.55,2049948.96,18.522553,-72.420333,71,92,114
,903,426,177,772348.63,2049948.96,18.522553,-72.420333,72,92,114
,904,427,177,772348.71,2049948.96,18.522553,-72.420332,72,93,114
,905,428,177,772348.79,2049948.96,18.522553,-72.420331,71,94,114
,906,429,177,772348.87,2049948.96,18.522553,-72.42033,70,92,114
,907,430,177,772348.95,2049948.96,18.522553,-72.42033,69,90,114
,908,431,177,772349.03,2049948.96,18.522553,-72.420329,70,90,114
,909,432,177,772349.12,2049948.96,18.522553,-72.420328,70,91,116
,910,433,177,772349.2,2049948.96,18.522553,-72.420327,71,93,118
,911,434,177,772349.28,2049948.96,18.522553,-72.420327,72,96,121
,912,435,177,772349.36,2049948.96,18.522553,-72.420326,73,97,122
,913,436,177,772349.44,2049948.96,18.522553,-72.420325,75,99,122
,914,437,177,772349.52,2049948.96,18.522553,-72.420324,76,101,122
,915,438,177,772349.6,2049948.96,18.522553,-72.420324,78,101,123
,916,439,177,772349.68,2049948.96,18.522553,-72.420323,78,101,124
,917,440,177,772349.76,2049948.96,18.522553,-72.420322,78,104,125
,918,441,177,772349.84,2049948.96,18.522553,-72.420321,78,101,124
,919,442,177,772349.92,2049948.96,18.522553,-72.42032,77,99,123
,920,443,177,772350,2049948.96,18.522553,-72.42032,75,97,122
,921,444,177,772350.08,2049948.96,18.522553,-72.420319,72,91,117
,922,445,177,772350.16,2049948.96,18.522553,-72.420318,72,89,112
,923,446,177,772350.24,2049948.96,18.522553,-72.420317,72,90,109
,924,447,177,772350.32,2049948.96,18.522553,-72.420317,73,91,112
,925,448,177,772350.4,2049948.96,18.522553,-72.420316,74,95,115
,926,449,177,772350.48,2049948.96,18.522553,-72.420315,73,99,116
,927,450,177,772350.56,2049948.96,18.522552,-72.420314,73,96,111
,928,414,178,772347.67,2049948.88,18.522552,-72.420342,81,102,125
,929,415,178,772347.75,2049948.88,18.522552,-72.420341,79,101,124
,930,416,178,772347.83,2049948.88,18.522552,-72.42034,79,101,123
,931,417,178,772347.91,2049948.88,18.522552,-72.420339,78,99,121
,932,418,178,772347.99,2049948.88,18.522552,-72.420339,78,95,118
,933,419,178,772348.07,2049948.88,18.522552,-72.420338,76,94,115
,934,420,178,772348.15,2049948.88,18.522552,-72.420337,73,93,113
,935,421,178,772348.23,2049948.88,18.522552,-72.420336,71,90,113
,936,422,178,772348.31,2049948.88,18.522552,-72.420336,71,90,113
,937,423,178,772348.39,2049948.88,18.522552,-72.420335,71,91,113
,938,424,178,772348.47,2049948.88,18.522552,-72.420334,72,92,114
,939,425,178,772348.55,2049948.88,18.522552,-72.420333,72,93,115
,940,426,178,772348.63,2049948.88,18.522552,-72.420333,72,93,115
,941,427,178,772348.71,2049948.88,18.522552,-72.420332,72,93,114
,942,428,178,772348.79,2049948.88,18.522552,-72.420331,71,92,113
,943,429,178,772348.87,2049948.88,18.522552,-72.42033,70,89,112
,944,430,178,772348.95,2049948.88,18.522552,-72.42033,69,86,111
,945,431,178,772349.03,2049948.88,18.522552,-72.420329,70,89,110
,946,432,178,772349.12,2049948.88,18.522552,-72.420328,71,90,112
,947,433,178,772349.2,2049948.88,18.522552,-72.420327,72,91,117
,948,434,178,772349.28,2049948.88,18.522552,-72.420327,73,95,121
,949,435,178,772349.36,2049948.88,18.522552,-72.420326,75,96,121
,950,436,178,772349.44,2049948.88,18.522552,-72.420325,76,97,121
,951,437,178,772349.52,2049948.88,18.522552,-72.420324,77,99,120
,952,438,178,772349.6,2049948.88,18.522552,-72.420324,78,98,122
,953,439,178,772349.68,2049948.88,18.522552,-72.420323,79,99,123
,954,440,178,772349.76,2049948.88,18.522552,-72.420322,80,101,124
,955,441,178,772349.84,2049948.88,18.522552,-72.420321,81,101,124
,956,442,178,772349.92,2049948.88,18.522552,-72.42032,79,100,124
,957,443,178,772350,2049948.88,18.522552,-72.42032,76,98,124
,958,444,178,772350.08,2049948.88,18.522552,-72.420319,73,92,118
,959,445,178,772350.16,2049948.88,18.522552,-72.420318,72,90,112
,960,446,178,772350.24,2049948.88,18.522552,-72.420317,73,90,108
,961,447,178,772350.32,2049948.88,18.522552,-72.420317,74,90,110
,962,448,178,772350.4,2049948.88,18.522552,-72.420316,73,93,112
,963,449,178,772350.48,2049948.88,18.522552,-72.420315,73,96,112
,964,450,178,772350.56,2049948.88,18.522552,-72.420314,73,94,108
,965,414,179,772347.67,2049948.8,18.522551,-72.420342,82,105,124
,966,415,179,772347.75,2049948.8,18.522551,-72.420341,81,104,123
,967,416,179,772347.83,2049948.8,18.522551,-72.42034,80,103,122
,968,417,179,772347.91,2049948.8,18.522551,-72.42034,79,100,120
,969,418,179,772347.99,2049948.8,18.522551,-72.420339,79,95,117
,970,419,179,772348.07,2049948.8,18.522551,-72.420338,76,95,115
,971,420,179,772348.15,2049948.8,18.522551,-72.420337,73,93,113
,972,421,179,772348.23,2049948.8,18.522551,-72.420336,70,91,113
,973,422,179,772348.31,2049948.8,18.522551,-72.420336,71,92,113
,974,423,179,772348.39,2049948.8,18.522551,-72.420335,72,92,114
,975,424,179,772348.47,2049948.8,18.522551,-72.420334,73,93,115
,976,425,179,772348.55,2049948.8,18.522551,-72.420333,73,95,115
,977,426,179,772348.63,2049948.8,18.522551,-72.420333,72,94,115
,978,427,179,772348.71,2049948.8,18.522551,-72.420332,72,93,114
,979,428,179,772348.79,2049948.8,18.522551,-72.420331,71,93,113
,980,429,179,772348.87,2049948.8,18.522551,-72.42033,69,90,112
,981,430,179,772348.95,2049948.8,18.522551,-72.42033,69,89,111
,982,431,179,772349.03,2049948.8,18.522551,-72.420329,70,92,110
,983,432,179,772349.12,2049948.8,18.522551,-72.420328,72,92,112
,984,433,179,772349.2,2049948.8,18.522551,-72.420327,73,94,116
,985,434,179,772349.28,2049948.8,18.522551,-72.420327,75,97,119
,986,435,179,772349.36,2049948.8,18.522551,-72.420326,76,97,120
,987,436,179,772349.44,2049948.8,18.522551,-72.420325,78,98,121
,988,437,179,772349.52,2049948.8,18.522551,-72.420324,78,100,122
,989,438,179,772349.6,2049948.8,18.522551,-72.420324,79,100,123
,990,439,179,772349.68,2049948.8,18.522551,-72.420323,80,101,124
,991,440,179,772349.76,2049948.8,18.522551,-72.420322,81,103,125
,992,441,179,772349.84,2049948.8,18.522551,-72.420321,83,104,125
,993,442,179,772349.92,2049948.8,18.522551,-72.420321,81,104,126
,994,443,179,772350,2049948.8,18.522551,-72.42032,77,103,125
,995,444,179,772350.08,2049948.8,18.522551,-72.420319,73,97,119
,996,445,179,772350.16,2049948.8,18.522551,-72.420318,72,94,112
,997,446,179,772350.24,2049948.8,18.522551,-72.420317,73,92,108
,998,447,179,772350.32,2049948.8,18.522551,-72.420317,74,92,109
,999,415,180,772347.75,2049948.72,18.522551,-72.420341,82,105,120
,1000,416,180,772347.83,2049948.72,18.522551,-72.42034,81,105,120
,1001,417,180,772347.91,2049948.72,18.522551,-72.42034,80,102,119
,1002,418,180,772347.99,2049948.72,18.522551,-72.420339,79,98,118
,1003,419,180,772348.07,2049948.72,18.522551,-72.420338,76,96,116
,1004,420,180,772348.15,2049948.72,18.522551,-72.420337,73,94,115
,1005,421,180,772348.23,2049948.72,18.522551,-72.420336,70,92,115
,1006,422,180,772348.31,2049948.72,18.522551,-72.420336,71,93,115
,1007,423,180,772348.39,2049948.72,18.522551,-72.420335,72,93,115
,1008,424,180,772348.47,2049948.72,18.522551,-72.420334,73,93,115
,1009,425,180,772348.55,2049948.72,18.522551,-72.420333,73,94,115
,1010,426,180,772348.63,2049948.72,18.522551,-72.420333,72,93,115
,1011,427,180,772348.71,2049948.72,18.522551,-72.420332,72,91,114
,1012,428,180,772348.79,2049948.72,18.522551,-72.420331,71,92,112
,1013,429,180,772348.87,2049948.72,18.522551,-72.42033,70,90,112
,1014,430,180,772348.95,2049948.72,18.522551,-72.42033,70,89,111
,1015,431,180,772349.03,2049948.72,18.522551,-72.420329,71,92,110
,1016,432,180,772349.12,2049948.72,18.522551,-72.420328,72,93,112
,1017,433,180,772349.2,2049948.72,18.52255,-72.420327,74,94,115
,1018,434,180,772349.28,2049948.72,18.52255,-72.420327,75,97,117
,1019,435,180,772349.36,2049948.72,18.52255,-72.420326,77,98,119
,1020,436,180,772349.44,2049948.72,18.52255,-72.420325,78,100,121
,1021,437,180,772349.52,2049948.72,18.52255,-72.420324,79,101,124
,1022,438,180,772349.6,2049948.72,18.52255,-72.420324,79,101,125
,1023,439,180,772349.68,2049948.72,18.52255,-72.420323,81,103,127
,1024,440,180,772349.76,2049948.72,18.52255,-72.420322,82,105,128
,1025,441,180,772349.84,2049948.72,18.52255,-72.420321,83,109,128
,1026,442,180,772349.92,2049948.72,18.52255,-72.420321,81,108,129
,1027,443,180,772350,2049948.72,18.52255,-72.42032,77,105,127
,1028,444,180,772350.08,2049948.72,18.52255,-72.420319,73,99,120
,1029,415,181,772347.75,2049948.64,18.52255,-72.420341,80,104,118
,1030,416,181,772347.83,2049948.64,18.52255,-72.42034,79,104,119
,1031,417,181,772347.91,2049948.64,18.52255,-72.42034,78,102,119
,1032,418,181,772347.99,2049948.64,18.52255,-72.420339,77,98,118
,1033,419,181,772348.07,2049948.64,18.52255,-72.420338,75,97,117
,1034,420,181,772348.15,2049948.64,18.52255,-72.420337,72,95,116
,1035,421,181,772348.23,2049948.64,18.52255,-72.420336,70,92,116
,1036,422,181,772348.31,2049948.64,18.52255,-72.420336,71,93,115
,1037,423,181,772348.39,2049948.64,18.52255,-72.420335,71,92,115
,1038,424,181,772348.47,2049948.64,18.52255,-72.420334,72,91,115
,1039,425,181,772348.55,2049948.64,18.52255,-72.420333,72,91,115
,1040,426,181,772348.63,2049948.64,18.52255,-72.420333,72,89,114
,1041,427,181,772348.71,2049948.64,18.52255,-72.420332,72,88,113
,1042,428,181,772348.79,2049948.64,18.52255,-72.420331,72,89,112
,1043,429,181,772348.87,2049948.64,18.52255,-72.42033,71,88,112
,1044,430,181,772348.95,2049948.64,18.52255,-72.42033,71,87,111
,1045,431,181,772349.03,2049948.64,18.52255,-72.420329,72,90,111
,1046,432,181,772349.12,2049948.64,18.52255,-72.420328,73,92,112
,1047,433,181,772349.2,2049948.64,18.52255,-72.420327,74,94,114
,1048,434,181,772349.28,2049948.64,18.52255,-72.420327,75,96,116
,1049,435,181,772349.36,2049948.64,18.52255,-72.420326,77,98,119
,1050,436,181,772349.44,2049948.64,18.52255,-72.420325,78,100,122
,1051,437,181,772349.52,2049948.64,18.52255,-72.420324,79,102,125
,1052,438,181,772349.6,2049948.64,18.52255,-72.420324,80,102,126
,1053,439,181,772349.68,2049948.64,18.52255,-72.420323,81,105,127
,1054,440,181,772349.76,2049948.64,18.52255,-72.420322,82,108,129
,1055,441,181,772349.84,2049948.64,18.52255,-72.420321,83,111,127
,1056,415,182,772347.75,2049948.56,18.522549,-72.420341,79,103,116
,1057,416,182,772347.83,2049948.56,18.522549,-72.42034,78,105,118
,1058,417,182,772347.91,2049948.56,18.522549,-72.42034,77,103,118
,1059,418,182,772347.99,2049948.56,18.522549,-72.420339,76,99,118
,1060,419,182,772348.07,2049948.56,18.522549,-72.420338,74,98,118
,1061,420,182,772348.15,2049948.56,18.522549,-72.420337,72,96,118
,1062,421,182,772348.23,2049948.56,18.522549,-72.420337,71,95,117
,1063,422,182,772348.31,2049948.56,18.522549,-72.420336,70,96,116
,1064,423,182,772348.39,2049948.56,18.522549,-72.420335,70,94,115
,1065,424,182,772348.47,2049948.56,18.522549,-72.420334,70,91,114
,1066,425,182,772348.55,2049948.56,18.522549,-72.420333,71,90,113
,1067,426,182,772348.63,2049948.56,18.522549,-72.420333,72,89,113
,1068,427,182,772348.71,2049948.56,18.522549,-72.420332,73,89,112
,1069,428,182,772348.79,2049948.56,18.522549,-72.420331,73,91,112
,1070,429,182,772348.87,2049948.56,18.522549,-72.42033,73,89,111
,1071,430,182,772348.95,2049948.56,18.522549,-72.42033,73,89,110
,1072,431,182,772349.03,2049948.56,18.522549,-72.420329,73,89,110
,1073,432,182,772349.12,2049948.56,18.522549,-72.420328,73,91,112
,1074,433,182,772349.2,2049948.56,18.522549,-72.420327,74,93,114
,1075,434,182,772349.28,2049948.56,18.522549,-72.420327,75,96,116
,1076,435,182,772349.36,2049948.56,18.522549,-72.420326,77,98,119
,1077,436,182,772349.44,2049948.56,18.522549,-72.420325,78,101,121
,1078,437,182,772349.52,2049948.56,18.522549,-72.420324,79,105,123
,1079,438,182,772349.6,2049948.56,18.522549,-72.420324,81,104,124
,1080,416,183,772347.83,2049948.48,18.522548,-72.42034,77,104,116
,1081,417,183,772347.91,2049948.48,18.522548,-72.42034,76,102,117
,1082,418,183,772347.99,2049948.48,18.522548,-72.420339,75,98,118
,1083,419,183,772348.07,2049948.48,18.522548,-72.420338,74,98,119
,1084,420,183,772348.15,2049948.48,18.522548,-72.420337,73,97,119
,1085,421,183,772348.23,2049948.48,18.522548,-72.420337,71,96,118
,1086,422,183,772348.31,2049948.48,18.522548,-72.420336,71,96,117
,1087,423,183,772348.39,2049948.48,18.522548,-72.420335,71,94,115
,1088,424,183,772348.47,2049948.48,18.522548,-72.420334,71,92,113
,1089,425,183,772348.55,2049948.48,18.522548,-72.420333,72,90,111
,1090,426,183,772348.63,2049948.48,18.522548,-72.420333,73,90,111
,1091,427,183,772348.71,2049948.48,18.522548,-72.420332,73,90,112
,1092,428,183,772348.79,2049948.48,18.522548,-72.420331,73,92,112
,1093,429,183,772348.87,2049948.48,18.522548,-72.42033,74,90,111
,1094,430,183,772348.95,2049948.48,18.522548,-72.42033,74,90,109
,1095,431,183,772349.03,2049948.48,18.522548,-72.420329,74,90,108
,1096,432,183,772349.12,2049948.48,18.522548,-72.420328,74,91,111
,1097,433,183,772349.2,2049948.48,18.522548,-72.420327,75,93,114
,1098,434,183,772349.28,2049948.48,18.522548,-72.420327,76,95,116
,1099,435,183,772349.36,2049948.48,18.522548,-72.420326,77,97,118
,1100,416,184,772347.83,2049948.4,18.522548,-72.42034,76,100,115
,1101,417,184,772347.91,2049948.4,18.522548,-72.42034,76,98,116
,1102,418,184,772347.99,2049948.4,18.522548,-72.420339,75,95,118
,1103,419,184,772348.07,2049948.4,18.522548,-72.420338,74,96,120
,1104,420,184,772348.15,2049948.4,18.522548,-72.420337,74,96,120
,1105,421,184,772348.23,2049948.4,18.522548,-72.420337,73,95,118
,1106,422,184,772348.31,2049948.4,18.522548,-72.420336,73,95,118
,1107,423,184,772348.39,2049948.4,18.522548,-72.420335,74,93,115
,1108,424,184,772348.47,2049948.4,18.522548,-72.420334,74,92,112
,1109,425,184,772348.55,2049948.4,18.522548,-72.420333,74,92,110
,1110,426,184,772348.63,2049948.4,18.522548,-72.420333,73,91,110
,1111,427,184,772348.71,2049948.4,18.522548,-72.420332,73,91,112
,1112,428,184,772348.79,2049948.4,18.522548,-72.420331,74,93,113
,1113,429,184,772348.87,2049948.4,18.522548,-72.42033,74,92,111
,1114,430,184,772348.95,2049948.4,18.522548,-72.42033,75,91,109
,1115,431,184,772349.03,2049948.4,18.522548,-72.420329,75,92,109
,1116,432,184,772349.12,2049948.4,18.522548,-72.420328,75,92,111
,1117,433,184,772349.2,2049948.4,18.522548,-72.420327,76,93,114
,1118,416,185,772347.83,2049948.32,18.522547,-72.42034,76,100,112
,1119,417,185,772347.91,2049948.32,18.522547,-72.42034,75,98,113
,1120,418,185,772347.99,2049948.32,18.522547,-72.420339,75,96,114
,1121,419,185,772348.07,2049948.32,18.522547,-72.420338,75,98,115
,1122,420,185,772348.15,2049948.32,18.522547,-72.420337,75,96,115
,1123,421,185,772348.23,2049948.32,18.522547,-72.420337,75,95,116
,1124,422,185,772348.31,2049948.32,18.522547,-72.420336,76,94,117
,1125,423,185,772348.39,2049948.32,18.522547,-72.420335,76,94,115
,1126,424,185,772348.47,2049948.32,18.522547,-72.420334,76,94,113
,1127,425,185,772348.55,2049948.32,18.522547,-72.420333,75,96,111
,1128,426,185,772348.63,2049948.32,18.522547,-72.420333,74,95,112
,1129,427,185,772348.71,2049948.32,18.522547,-72.420332,74,95,113
,1130,428,185,772348.79,2049948.32,18.522547,-72.420331,74,97,114
,1131,429,185,772348.87,2049948.32,18.522547,-72.42033,75,94,113
,1132,430,185,772348.95,2049948.32,18.522547,-72.42033,75,94,112
,1133,417,186,772347.91,2049948.24,18.522546,-72.42034,75,97,110
,1134,418,186,772347.99,2049948.24,18.522546,-72.420339,75,95,110
,1135,419,186,772348.07,2049948.24,18.522546,-72.420338,75,96,110
,1136,420,186,772348.15,2049948.24,18.522546,-72.420337,76,94,111
,1137,421,186,772348.23,2049948.24,18.522546,-72.420337,76,93,113
,1138,422,186,772348.31,2049948.24,18.522546,-72.420336,76,94,116
,1139,423,186,772348.39,2049948.24,18.522546,-72.420335,76,94,115
,1140,424,186,772348.47,2049948.24,18.522546,-72.420334,76,95,114
,1141,425,186,772348.55,2049948.24,18.522546,-72.420334,75,97,113
,1142,426,186,772348.63,2049948.24,18.522546,-72.420333,74,97,114
,1143,427,186,772348.71,2049948.24,18.522546,-72.420332,74,97,115
,1144,418,187,772347.99,2049948.15,18.522546,-72.420339,75,93,106
,1145,419,187,772348.07,2049948.15,18.522546,-72.420338,75,94,105
,1146,420,187,772348.15,2049948.15,18.522546,-72.420337,76,92,108
,1147,421,187,772348.23,2049948.15,18.522546,-72.420337,76,92,112
,1148,422,187,772348.31,2049948.15,18.522546,-72.420336,76,95,115
,1149,423,187,772348.39,2049948.15,18.522546,-72.420335,75,95,115
,1150,424,187,772348.47,2049948.15,18.522546,-72.420334,75,96,114
,1151,417,187,772347.91,2049948.15,18.522546,-72.42034,75,95,107
,1152,417,188,772347.91,2049948.07,18.522545,-72.42034,75,94,105
,1153,418,188,772347.99,2049948.07,18.522545,-72.420339,75,94,106
,1154,419,188,772348.07,2049948.07,18.522545,-72.420338,76,95,107
,1155,420,188,772348.15,2049948.07,18.522545,-72.420337,77,94,109
,1156,421,188,772348.23,2049948.07,18.522545,-72.420337,76,95,112
,1157,418,189,772347.99,2049947.99,18.522544,-72.420339,76,94,106
,1158  1,226,993,772412.89,2049883.42,18.521953,-72.419733,92,97,101
,1159  1,226,994,772412.89,2049883.34,18.521952,-72.419733,99,103,106
,1160  1,227,994,772412.97,2049883.34,18.521952,-72.419733,98,102,109
,1161  1,228,994,772413.05,2049883.34,18.521952,-72.419732,97,107,113
,1162  1,226,995,772412.89,2049883.26,18.521951,-72.419733,103,107,108
,1163  1,227,995,772412.97,2049883.26,18.521951,-72.419733,102,108,113
,1164  1,228,995,772413.05,2049883.26,18.521951,-72.419732,102,114,120
,1165  1,229,995,772413.13,2049883.26,18.521951,-72.419731,103,120,129
,1166  1,231,996,772413.29,2049883.18,18.52195,-72.41973,107,132,146
,1167  1,226,996,772412.89,2049883.18,18.52195,-72.419733,99,107,109
,1168  1,227,996,772412.97,2049883.18,18.52195,-72.419733,100,111,118
,1169  1,228,996,772413.05,2049883.18,18.52195,-72.419732,100,118,129
,1170  1,233,996,772413.45,2049883.18,18.52195,-72.419728,99,128,141
,1171  1,229,996,772413.13,2049883.18,18.52195,-72.419731,102,124,140
,1172  1,232,996,772413.37,2049883.18,18.52195,-72.419729,104,132,144
,1173  1,230,996,772413.21,2049883.18,18.52195,-72.41973,104,129,149
,1174  1,236,997,772413.69,2049883.1,18.52195,-72.419726,92,113,127
,1175  1,225,997,772412.81,2049883.1,18.52195,-72.419734,96,105,105
,1176  1,226,997,772412.89,2049883.1,18.52195,-72.419733,96,108,112
,1177  1,227,997,772412.97,2049883.1,18.52195,-72.419733,97,112,121
,1178  1,228,997,772413.05,2049883.1,18.52195,-72.419732,98,118,132
,1179  1,229,997,772413.13,2049883.1,18.52195,-72.419731,101,123,142
,1180  1,230,997,772413.21,2049883.1,18.52195,-72.41973,104,129,151
,1181  1,231,997,772413.29,2049883.1,18.52195,-72.41973,108,134,150
,1182  1,232,997,772413.37,2049883.1,18.52195,-72.419729,105,137,150
,1183  1,233,997,772413.45,2049883.1,18.52195,-72.419728,101,137,148
,1184  1,234,997,772413.53,2049883.1,18.52195,-72.419727,97,127,141
,1185  1,235,997,772413.61,2049883.1,18.52195,-72.419727,94,119,135
,1186  1,231,998,772413.29,2049883.01,18.521949,-72.41973,108,134,150
,1187  1,225,998,772412.81,2049883.01,18.521949,-72.419734,92,106,111
,1188  1,226,998,772412.89,2049883.01,18.521949,-72.419733,93,109,116
,1189  1,227,998,772412.97,2049883.01,18.521949,-72.419733,96,112,123
,1190  1,228,998,772413.05,2049883.01,18.521949,-72.419732,98,115,132
,1191  1,229,998,772413.13,2049883.01,18.521949,-72.419731,101,121,141
,1192  1,230,998,772413.21,2049883.01,18.521949,-72.41973,104,129,148
,1193  1,237,998,772413.77,2049883.01,18.521949,-72.419725,95,114,122
,1194  1,232,998,772413.37,2049883.01,18.521949,-72.419729,107,139,151
,1195  1,233,998,772413.45,2049883.01,18.521949,-72.419728,102,142,151
,1196  1,234,998,772413.53,2049883.01,18.521949,-72.419727,99,130,144
,1197  1,235,998,772413.61,2049883.01,18.521949,-72.419727,97,124,139
,1198  1,236,998,772413.69,2049883.01,18.521949,-72.419726,96,123,132
,1199  1,237,999,772413.77,2049882.93,18.521948,-72.419725,95,117,133
,1200  1,225,999,772412.81,2049882.93,18.521948,-72.419734,93,107,116
